AUID_ATTNS,Waterbody Type,Use,Use_Category,overallStatus,Name_AU,Shape_4_Summary,AU_Shape_Unit
AK_M_1030107_002,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Auke Bay,5.29445015146,square miles
AK_M_1030107_002,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Auke Bay,5.29445015146,square miles
AK_M_1030107_002,Marine,WATER RECREATION,2,Fully Supporting,Auke Bay,5.29445015146,square miles
AK_M_1030107_002,Marine,WATER RECREATION,3,Not Assessed,Auke Bay,5.29445015146,square miles
AK_M_1030107_002,Marine,WATER SUPPLY,5,Not Supporting,Auke Bay,5.29445015146,square miles
AK_M_1030107_002,Marine,WATER SUPPLY,2,Fully Supporting,Auke Bay,5.29445015146,square miles
AK_M_1030108_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Lynn Canal,301.840030422,square miles
AK_M_1030108_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Lynn Canal,301.840030422,square miles
AK_M_1030108_001,Marine,WATER RECREATION,3,Not Assessed,Lynn Canal,301.840030422,square miles
AK_M_1030108_001,Marine,WATER SUPPLY,3,Not Assessed,Lynn Canal,301.840030422,square miles
AK_M_1030305_002,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Taiya Inlet,14.7613148916,square miles
AK_M_1030305_002,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Taiya Inlet,14.7613148916,square miles
AK_M_1030305_002,Marine,WATER RECREATION,3,Not Assessed,Taiya Inlet,14.7613148916,square miles
AK_M_1030305_002,Marine,WATER SUPPLY,3,Not Assessed,Taiya Inlet,14.7613148916,square miles
AK_M_1030305_004,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Skagway Harbor (entire harbor area),0.279391803097,square miles
AK_M_1030305_004,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Skagway Harbor (entire harbor area),0.279391803097,square miles
AK_M_1030305_004,Marine,WATER RECREATION,2,Fully Supporting,Skagway Harbor (entire harbor area),0.279391803097,square miles
AK_M_1030305_004,Marine,WATER RECREATION,3,Not Assessed,Skagway Harbor (entire harbor area),0.279391803097,square miles
AK_M_1030305_004,Marine,WATER SUPPLY,2,Fully Supporting,Skagway Harbor (entire harbor area),0.279391803097,square miles
AK_M_1030308_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Chilkoot Inlet-Frontal Lynn Canal,37.0703082659,square miles
AK_M_1030308_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Chilkoot Inlet-Frontal Lynn Canal,37.0703082659,square miles
AK_M_1030308_000,Marine,WATER RECREATION,3,Not Assessed,Chilkoot Inlet-Frontal Lynn Canal,37.0703082659,square miles
AK_M_1030308_000,Marine,WATER SUPPLY,3,Not Assessed,Chilkoot Inlet-Frontal Lynn Canal,37.0703082659,square miles
AK_M_1030308_007,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Haines Coastal Area,3.27921809787,square miles
AK_M_1030308_007,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Haines Coastal Area,3.27921809787,square miles
AK_M_1030308_007,Marine,WATER RECREATION,3,Not Assessed,Haines Coastal Area,3.27921809787,square miles
AK_M_1030308_007,Marine,WATER SUPPLY,3,Not Assessed,Haines Coastal Area,3.27921809787,square miles
AK_M_1030409_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Taku Inlet-Frontal Stephens Passage,39.43449704,square miles
AK_M_1030409_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Taku Inlet-Frontal Stephens Passage,39.43449704,square miles
AK_M_1030409_000,Marine,WATER RECREATION,3,Not Assessed,Taku Inlet-Frontal Stephens Passage,39.43449704,square miles
AK_M_1030409_000,Marine,WATER SUPPLY,3,Not Assessed,Taku Inlet-Frontal Stephens Passage,39.43449704,square miles
AK_M_1050001_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Stephens Passage,478.50015378,square miles
AK_M_1050001_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Stephens Passage,478.50015378,square miles
AK_M_1050001_001,Marine,WATER RECREATION,3,Not Assessed,Stephens Passage,478.50015378,square miles
AK_M_1050001_001,Marine,WATER SUPPLY,3,Not Assessed,Stephens Passage,478.50015378,square miles
AK_M_1050004_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Fredrick Sound,441.47977275,square miles
AK_M_1050004_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Fredrick Sound,441.47977275,square miles
AK_M_1050004_001,Marine,WATER RECREATION,3,Not Assessed,Fredrick Sound,441.47977275,square miles
AK_M_1050004_001,Marine,WATER SUPPLY,3,Not Assessed,Fredrick Sound,441.47977275,square miles
AK_M_1050005_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Ernest Sound,76.263335263,square miles
AK_M_1050005_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Ernest Sound,76.263335263,square miles
AK_M_1050005_000,Marine,WATER RECREATION,3,Not Assessed,Ernest Sound,76.263335263,square miles
AK_M_1050005_000,Marine,WATER SUPPLY,3,Not Assessed,Ernest Sound,76.263335263,square miles
AK_M_1050006_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Icy Strait,420.972082471,square miles
AK_M_1050006_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Icy Strait,420.972082471,square miles
AK_M_1050006_003,Marine,WATER RECREATION,3,Not Assessed,Icy Strait,420.972082471,square miles
AK_M_1050006_003,Marine,WATER SUPPLY,3,Not Assessed,Icy Strait,420.972082471,square miles
AK_M_1050007_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Chatham Strait,987.66235809,square miles
AK_M_1050007_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Chatham Strait,987.66235809,square miles
AK_M_1050007_001,Marine,WATER RECREATION,3,Not Assessed,Chatham Strait,987.66235809,square miles
AK_M_1050007_001,Marine,WATER SUPPLY,3,Not Assessed,Chatham Strait,987.66235809,square miles
AK_M_1050008_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Sumner Strait,489.786245861,square miles
AK_M_1050008_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Sumner Strait,489.786245861,square miles
AK_M_1050008_001,Marine,WATER RECREATION,3,Not Assessed,Sumner Strait,489.786245861,square miles
AK_M_1050008_001,Marine,WATER SUPPLY,3,Not Assessed,Sumner Strait,489.786245861,square miles
AK_M_1050009_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Clarence Strait,707.330552331,square miles
AK_M_1050009_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Clarence Strait,707.330552331,square miles
AK_M_1050009_001,Marine,WATER RECREATION,3,Not Assessed,Clarence Strait,707.330552331,square miles
AK_M_1050009_001,Marine,WATER SUPPLY,3,Not Assessed,Clarence Strait,707.330552331,square miles
AK_M_1050011_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Peril Strait,85.5617117443,square miles
AK_M_1050011_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Peril Strait,85.5617117443,square miles
AK_M_1050011_000,Marine,WATER RECREATION,3,Not Assessed,Peril Strait,85.5617117443,square miles
AK_M_1050011_000,Marine,WATER SUPPLY,3,Not Assessed,Peril Strait,85.5617117443,square miles
AK_M_2020111_005,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Port Valdez,33.113459278,square miles
AK_M_2020111_005,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Port Valdez,33.113459278,square miles
AK_M_2020111_005,Marine,WATER RECREATION,3,Not Assessed,Port Valdez,33.113459278,square miles
AK_M_2020111_005,Marine,WATER SUPPLY,3,Not Assessed,Port Valdez,33.113459278,square miles
AK_M_2020111_011,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Port Valdez Small Boat Harbor,0.864402129051,square miles
AK_M_2020111_011,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Port Valdez Small Boat Harbor,0.864402129051,square miles
AK_M_2020111_011,Marine,WATER RECREATION,3,Not Assessed,Port Valdez Small Boat Harbor,0.864402129051,square miles
AK_M_2020111_011,Marine,WATER SUPPLY,3,Not Assessed,Port Valdez Small Boat Harbor,0.864402129051,square miles
AK_M_2020120_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Blackstone Bay-Frontal Port Wells,42.1230966307,square miles
AK_M_2020120_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Blackstone Bay-Frontal Port Wells,42.1230966307,square miles
AK_M_2020120_000,Marine,WATER RECREATION,3,Not Assessed,Blackstone Bay-Frontal Port Wells,42.1230966307,square miles
AK_M_2020120_000,Marine,WATER SUPPLY,3,Not Assessed,Blackstone Bay-Frontal Port Wells,42.1230966307,square miles
AK_M_2020120_011,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Passage Canal (Whittier Harbor),1.29404223065,square miles
AK_M_2020120_011,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Passage Canal (Whittier Harbor),1.29404223065,square miles
AK_M_2020120_011,Marine,WATER RECREATION,2,Fully Supporting,Passage Canal (Whittier Harbor),1.29404223065,square miles
AK_M_2020120_011,Marine,WATER SUPPLY,2,Fully Supporting,Passage Canal (Whittier Harbor),1.29404223065,square miles
AK_M_2020205_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Upper Resurrection Bay,29.2516790881,square miles
AK_M_2020205_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Upper Resurrection Bay,29.2516790881,square miles
AK_M_2020205_003,Marine,WATER RECREATION,2,Fully Supporting,Upper Resurrection Bay,29.2516790881,square miles
AK_M_2020205_003,Marine,WATER SUPPLY,5,Not Supporting,Upper Resurrection Bay,29.2516790881,square miles
AK_M_2020205_003,Marine,WATER SUPPLY,2,Fully Supporting,Upper Resurrection Bay,29.2516790881,square miles
AK_M_2020205_004,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Seward Harbor,1.14452814305,square miles
AK_M_2020205_004,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Seward Harbor,1.14452814305,square miles
AK_M_2020205_004,Marine,WATER RECREATION,2,Fully Supporting,Seward Harbor,1.14452814305,square miles
AK_M_2020205_004,Marine,WATER SUPPLY,5,Not Supporting,Seward Harbor,1.14452814305,square miles
AK_M_2020205_004,Marine,WATER SUPPLY,2,Fully Supporting,Seward Harbor,1.14452814305,square miles
AK_M_2020206_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Resurrection Bay-Frontal Gulf of Alaska,167.861541449,square miles
AK_M_2020206_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Resurrection Bay-Frontal Gulf of Alaska,167.861541449,square miles
AK_M_2020206_000,Marine,WATER RECREATION,3,Not Assessed,Resurrection Bay-Frontal Gulf of Alaska,167.861541449,square miles
AK_M_2020206_000,Marine,WATER SUPPLY,3,Not Assessed,Resurrection Bay-Frontal Gulf of Alaska,167.861541449,square miles
AK_M_2020306_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Prince William Sound,2008.78413951,square miles
AK_M_2020306_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Prince William Sound,2008.78413951,square miles
AK_M_2020306_000,Marine,WATER RECREATION,3,Not Assessed,Prince William Sound,2008.78413951,square miles
AK_M_2020306_000,Marine,WATER SUPPLY,3,Not Assessed,Prince William Sound,2008.78413951,square miles
AK_M_2030108_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Stariski Creek-Frontal Cook Inlet,70.5090987898,square miles
AK_M_2030108_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Stariski Creek-Frontal Cook Inlet,70.5090987898,square miles
AK_M_2030108_000,Marine,WATER RECREATION,3,Not Assessed,Stariski Creek-Frontal Cook Inlet,70.5090987898,square miles
AK_M_2030108_000,Marine,WATER SUPPLY,3,Not Assessed,Stariski Creek-Frontal Cook Inlet,70.5090987898,square miles
AK_M_2030108_006,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Homer Nearshore Area,7.86808308219,square miles
AK_M_2030108_006,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Homer Nearshore Area,7.86808308219,square miles
AK_M_2030108_006,Marine,WATER RECREATION,5,Not Supporting,Homer Nearshore Area,7.86808308219,square miles
AK_M_2030108_006,Marine,WATER RECREATION,2,Fully Supporting,Homer Nearshore Area,7.86808308219,square miles
AK_M_2030108_006,Marine,WATER SUPPLY,5,Not Supporting,Homer Nearshore Area,7.86808308219,square miles
AK_M_2030108_006,Marine,WATER SUPPLY,2,Fully Supporting,Homer Nearshore Area,7.86808308219,square miles
AK_M_2040108_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Knik Arm,108.051904859,square miles
AK_M_2040108_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Knik Arm,108.051904859,square miles
AK_M_2040108_003,Marine,WATER RECREATION,2,Fully Supporting,Knik Arm,108.051904859,square miles
AK_M_2040108_003,Marine,WATER SUPPLY,2,Fully Supporting,Knik Arm,108.051904859,square miles
AK_M_2040108_007,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Anchorage Coast Area North,6.81123543674,square miles
AK_M_2040108_007,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Anchorage Coast Area North,6.81123543674,square miles
AK_M_2040108_007,Marine,WATER RECREATION,2,Fully Supporting,Anchorage Coast Area North,6.81123543674,square miles
AK_M_2040108_007,Marine,WATER SUPPLY,2,Fully Supporting,Anchorage Coast Area North,6.81123543674,square miles
AK_M_2070114_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Afognak River-Frontal Marmot Bay,484.100578657,square miles
AK_M_2070114_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Afognak River-Frontal Marmot Bay,484.100578657,square miles
AK_M_2070114_000,Marine,WATER RECREATION,3,Not Assessed,Afognak River-Frontal Marmot Bay,484.100578657,square miles
AK_M_2070114_000,Marine,WATER SUPPLY,3,Not Assessed,Afognak River-Frontal Marmot Bay,484.100578657,square miles
AK_M_2070115_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Buskin River-Chiniak Bay,173.001660824,square miles
AK_M_2070115_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Buskin River-Chiniak Bay,173.001660824,square miles
AK_M_2070115_000,Marine,WATER RECREATION,3,Not Assessed,Buskin River-Chiniak Bay,173.001660824,square miles
AK_M_2070115_000,Marine,WATER SUPPLY,3,Not Assessed,Buskin River-Chiniak Bay,173.001660824,square miles
AK_M_2070115_007,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Kodiak Harbors,15.7691204233,square miles
AK_M_2070115_007,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Kodiak Harbors,15.7691204233,square miles
AK_M_2070115_007,Marine,WATER RECREATION,2,Fully Supporting,Kodiak Harbors,15.7691204233,square miles
AK_M_2070115_007,Marine,WATER SUPPLY,5,Not Supporting,Kodiak Harbors,15.7691204233,square miles
AK_M_2070115_007,Marine,WATER SUPPLY,2,Fully Supporting,Kodiak Harbors,15.7691204233,square miles
AK_M_3010208_005,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Dutch Harbor (facilities),0.116570970891,square miles
AK_M_3010208_005,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Dutch Harbor (facilities),0.116570970891,square miles
AK_M_3010208_005,Marine,WATER RECREATION,3,Not Assessed,Dutch Harbor (facilities),0.116570970891,square miles
AK_M_3010208_005,Marine,WATER SUPPLY,3,Not Assessed,Dutch Harbor (facilities),0.116570970891,square miles
AK_M_3010208_008,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Iliuliuk Bay,3.12046008974,square miles
AK_M_3010208_008,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Iliuliuk Bay,3.12046008974,square miles
AK_M_3010208_008,Marine,WATER RECREATION,3,Not Assessed,Iliuliuk Bay,3.12046008974,square miles
AK_M_3010208_008,Marine,WATER SUPPLY,3,Not Assessed,Iliuliuk Bay,3.12046008974,square miles
AK_M_3010208_023,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Dutch Harbor (entire harbor),0.79740767991,square miles
AK_M_3010208_023,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Dutch Harbor (entire harbor),0.79740767991,square miles
AK_M_3010208_023,Marine,WATER RECREATION,3,Not Assessed,Dutch Harbor (entire harbor),0.79740767991,square miles
AK_M_3010208_023,Marine,WATER SUPPLY,3,Not Assessed,Dutch Harbor (entire harbor),0.79740767991,square miles
AK_M_3010208_024,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Iliuliuk Harbor (main),0.128432416647,square miles
AK_M_3010208_024,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Iliuliuk Harbor (main),0.128432416647,square miles
AK_M_3010208_024,Marine,WATER RECREATION,3,Not Assessed,Iliuliuk Harbor (main),0.128432416647,square miles
AK_M_3010208_024,Marine,WATER SUPPLY,3,Not Assessed,Iliuliuk Harbor (main),0.128432416647,square miles
AK_M_3030311_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,NA,NA,NA
AK_M_3030311_001,Marine,WATER RECREATION,3,Not Assessed,NA,NA,NA
AK_M_3030311_001,Marine,WATER SUPPLY,3,Not Assessed,NA,NA,NA
AK_M_3030311_002,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,NA,NA,NA
AK_M_3030311_002,Marine,WATER RECREATION,3,Not Assessed,NA,NA,NA
AK_M_3030311_002,Marine,WATER SUPPLY,3,Not Assessed,NA,NA,NA
AK_M_5010420_000,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Safety Sound-Frontal Norton Sound,466.133012297,square miles
AK_M_5010420_000,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Safety Sound-Frontal Norton Sound,466.133012297,square miles
AK_M_5010420_000,Marine,WATER RECREATION,3,Not Assessed,Safety Sound-Frontal Norton Sound,466.133012297,square miles
AK_M_5010420_000,Marine,WATER SUPPLY,3,Not Assessed,Safety Sound-Frontal Norton Sound,466.133012297,square miles
AK_M_5010420_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Nome Harbor,3.66228970207,square miles
AK_M_5010420_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Nome Harbor,3.66228970207,square miles
AK_M_5010420_003,Marine,WATER RECREATION,2,Fully Supporting,Nome Harbor,3.66228970207,square miles
AK_M_5010420_003,Marine,WATER RECREATION,3,Not Assessed,Nome Harbor,3.66228970207,square miles
AK_M_5010420_003,Marine,WATER SUPPLY,3,Not Assessed,Nome Harbor,3.66228970207,square miles
AK_M_6020202_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",3,Not Assessed,Utqiagvik Coastal Area,4.63786234416,square miles
AK_M_6020202_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,3,Not Assessed,Utqiagvik Coastal Area,4.63786234416,square miles
AK_M_6020202_001,Marine,WATER RECREATION,3,Not Assessed,Utqiagvik Coastal Area,4.63786234416,square miles
AK_M_6020202_001,Marine,WATER SUPPLY,3,Not Assessed,Utqiagvik Coastal Area,4.63786234416,square miles
AK_R_1010504_005,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Unuk River,25.9328352558,miles
AK_R_1010504_005,Freshwater,WATER RECREATION,5,Not Supporting,Unuk River,25.9328352558,miles
AK_R_1010504_005,Freshwater,WATER SUPPLY,5,Not Supporting,Unuk River,25.9328352558,miles
AK_R_1010504_005,Freshwater streams and rivers,WATER SUPPLY,5,Not Supporting,Unuk River,25.9328352558,miles
AK_R_1010601_009,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Salmon River,15.0625835736,miles
AK_R_1010601_009,Freshwater,WATER RECREATION,5,Not Supporting,Salmon River,15.0625835736,miles
AK_R_1010601_009,Freshwater,WATER SUPPLY,5,Not Supporting,Salmon River,15.0625835736,miles
AK_R_1010601_009,Freshwater streams and rivers,WATER SUPPLY,5,Not Supporting,Salmon River,15.0625835736,miles
AK_R_1020709_011,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Stikine River,15.6718609518,miles
AK_R_1020709_011,Freshwater,WATER RECREATION,5,Not Supporting,Stikine River,15.6718609518,miles
AK_R_1020709_011,Freshwater,WATER SUPPLY,5,Not Supporting,Stikine River,15.6718609518,miles
AK_R_1020709_011,Freshwater streams and rivers,WATER SUPPLY,5,Not Supporting,Stikine River,15.6718609518,miles
AK_R_1030106_014,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Jordan Creek,3.57042378891,miles
AK_R_1030106_014,Freshwater,WATER RECREATION,5,Not Supporting,Jordan Creek,3.57042378891,miles
AK_R_1030106_014,Freshwater,WATER SUPPLY,5,Not Supporting,Jordan Creek,3.57042378891,miles
AK_R_1030106_014,Freshwater streams and rivers,WATER SUPPLY,5,Not Supporting,Jordan Creek,3.57042378891,miles
AK_R_1030407_006,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Taku River,20.3727658497,miles
AK_R_1030407_006,Freshwater,WATER RECREATION,5,Not Supporting,Taku River,20.3727658497,miles
AK_R_1030407_006,Freshwater,WATER SUPPLY,5,Not Supporting,Taku River,20.3727658497,miles
AK_R_1030407_006,Freshwater streams and rivers,WATER SUPPLY,5,Not Supporting,Taku River,20.3727658497,miles
AK_R_1040422_001,Freshwater,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",5,Not Supporting,Alsek River,6.58266957199,miles
AK_R_1040422_001,Freshwater,WATER RECREATION,5,Not Supporting,Alsek River,6.58266957199,miles
AK_R_1040422_001,Freshwater,WATER SUPPLY,2,Fully Supporting,Alsek River,6.58266957199,miles
AK_R_1040422_001,Freshwater,WATER SUPPLY,5,Not Supporting,Alsek River,6.58266957199,miles
AK_R_1040422_001,Freshwater streams and rivers,WATER SUPPLY,5,Not Supporting,Alsek River,6.58266957199,miles
AK_R_2030207_012,Freshwater,WATER RECREATION,2,Fully Supporting,McHugh Creek,5.34599983209,miles
