Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts
Freshwater,Toxics,Chlorobenzene,CHLOROBENZENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Chlorobenzene,CHLOROBENZENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Chromium,CHROMIUM,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Chromium,CHROMIUM,Total,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Chromium (III),CHROMIUM(III),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Chromium (VI),CHROMIUM(VI),Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Cobalt,COBALT,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Copper,COPPER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Copper,COPPER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Copper,COPPER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Copper,COPPER,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Copper,COPPER,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Copper,COPPER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Copper,COPPER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Copper,COPPER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Cyanide,CYANIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Cyanide,CYANIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Cyanide,CYANIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Cyanide,CYANIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,"Dichlorobenzene 1,3-","1,3-DICHLOROBENZENE",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,"Dichlorobenzene 1,3-","1,3-DICHLOROBENZENE",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Ethylbenzene,ETHYLBENZENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Fluoride,FLUORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Fluoride,FLUORIDE,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Marine,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Hydrogen Sulfide,HYDROGEN SULFIDE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Iron,IRON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Iron,IRON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Iron,IRON,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Lead,LEAD,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Lead,LEAD,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Lead,LEAD,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Lead,LEAD,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Lead,LEAD,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Lead,LEAD,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Lead,LEAD,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Marine,Toxics,Manganese ,MANGANESE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Manganese,MANGANESE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Manganese,MANGANESE,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Manganese ,MANGANESE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Mercury,MERCURY,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Mercury,MERCURY,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Mercury,MERCURY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Mercury,MERCURY,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Mercury,MERCURY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Mercury,MERCURY,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Mercury,MERCURY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Mercury,MERCURY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Mercury,MERCURY,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Nickel,NICKEL,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Nickel,NICKEL,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Nickel,NICKEL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Nitrate,NITRATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Nitrate and Nitrite,NITRATE + NITRITE,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Nitrite,NITRITE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Phosphorus (elemental),PHOSPHORUS,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Phosphorus (elemental),PHOSPHORUS,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Selenium,SELENIUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Selenium,SELENIUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Selenium,SELENIUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Selenium,SELENIUM,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Selenium,SELENIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Selenium,SELENIUM,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Selenium,SELENIUM,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Selenium,SELENIUM,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Selenium,SELENIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Selenium,SELENIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Selenium,SELENIUM,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Silver,SILVER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Silver,SILVER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Strontium-90,STRONTIUM-90,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Toluene,TOLUENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Toluene,TOLUENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Toluene,TOLUENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Xylenes,TOTAL XYLENES,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Freshwater,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Freshwater,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Toxics,Zinc,ZINC,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Zinc,ZINC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18
Freshwater,Turbidity,Turbidity,TURBIDITY,,WATER RECREATION,CONTACT RECREATION,,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)",2,20
Freshwater,Toxics,Acenapthene,ACENAPHTHENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Acenapthene,ACENAPHTHENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Acrolein,ACROLEIN,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Acrolein,ACROLEIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Alachor,ALACHLOR,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Toxics,Aldicarb,ALDICARB,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
