AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,35,12,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,35,12,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,35,12,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,DISSOLVED,15,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,DISSOLVED,15,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,DISSOLVED,15,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1020904_004,Ocean,Marine,NICKEL,UG/L,DISSOLVED,15,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1020904_004,Ocean,Marine,PH,SU,,60,3,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,PH,SU,,60,3,3,Marine,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,PH,SU,,60,3,3,Marine,,WATER RECREATION,CONTACT RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,PH,SU,,60,3,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,PH,SU,,60,3,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,PH,SU,,60,3,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,PH,SU,,60,3,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,DISSOLVED,5,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,DISSOLVED,5,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,DISSOLVED,5,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1020904_004,Ocean,Marine,ZINC,UG/L,DISSOLVED,5,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,8,2,2,Marine,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,8,2,2,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,8,2,2,Marine,,WATER RECREATION,CONTACT RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,8,2,2,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,8,2,2,Marine,,WATER SUPPLY,AQUACULTURE,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,PH,SU,,8,2,2,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,PH,SU,,8,2,2,Marine,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,PH,SU,,8,2,2,Marine,,WATER RECREATION,CONTACT RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,PH,SU,,8,2,2,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,PH,SU,,8,2,2,Marine,,WATER SUPPLY,AQUACULTURE,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,PH,SU,,8,2,2,Marine,,WATER SUPPLY,INDUSTRIAL,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,PH,SU,,8,2,2,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021008_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021008_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,2,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,12,3,3,Marine,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,12,3,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,12,3,3,Marine,,WATER RECREATION,CONTACT RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,12,3,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,12,3,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,ENTEROCOCCUS,CFU/100ML,,4,4,3,Marine,,WATER RECREATION,CONTACT RECREATION,,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,10,10,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,2,20,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,10,10,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,10,10,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,10,10,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,10,10,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,10,10,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,2,20,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,10,10,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,10,10,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,10,10,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,10,10,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,NICKEL,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,PH,SU,,12,3,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,PH,SU,,12,3,3,Marine,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,PH,SU,,12,3,3,Marine,,WATER RECREATION,CONTACT RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,PH,SU,,12,3,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,PH,SU,,12,3,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,PH,SU,,12,3,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,PH,SU,,12,3,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,1,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,1,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,1,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_000,Ocean,Marine,ZINC,UG/L,DISSOLVED,1,1,1,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,No,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,COPPER,UG/L,DISSOLVED,13,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,COPPER,UG/L,DISSOLVED,13,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,COPPER,UG/L,DISSOLVED,13,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,52,3,3,Marine,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,52,3,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,52,3,3,Marine,,WATER RECREATION,CONTACT RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,52,3,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,DISSOLVED OXYGEN (DO),MG/L,,52,3,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,ENTEROCOCCUS,CFU/100ML,,19,9,3,Marine,,WATER RECREATION,CONTACT RECREATION,,2 water years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,49,13,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,2,20,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,49,13,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,49,13,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,49,13,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,CFU/100ML,,49,13,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,49,13,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,2,20,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,49,13,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,49,13,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,49,13,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,FECAL COLIFORM,MPN/100ML,,49,13,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,NICKEL,UG/L,DISSOLVED,13,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,NICKEL,UG/L,DISSOLVED,13,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,NICKEL,UG/L,DISSOLVED,13,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,NICKEL,UG/L,DISSOLVED,13,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,PH,SU,,52,3,3,Marine,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,PH,SU,,52,3,3,Marine,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,PH,SU,,52,3,3,Marine,,WATER RECREATION,CONTACT RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,PH,SU,,52,3,3,Marine,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,PH,SU,,52,3,3,Marine,,WATER SUPPLY,AQUACULTURE,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,PH,SU,,52,3,3,Marine,,WATER SUPPLY,INDUSTRIAL,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,PH,SU,,52,3,3,Marine,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,2,10,Yes,No,No,Hardness dependency not applicable.
AK_M_1021010_008,Ocean,Marine,ZINC,UG/L,DISSOLVED,3,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,ZINC,UG/L,DISSOLVED,3,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,ZINC,UG/L,DISSOLVED,3,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021010_008,Ocean,Marine,ZINC,UG/L,DISSOLVED,3,2,2,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,2,18,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021109_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,2,10,Yes,No,No,Hardness data not available to assess data sufficiency.
AK_M_1021109_000,Ocean,Marine,COPPER,UG/L,DISSOLVED,3,3,3,Marine,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,2,5,Yes,No,No,Hardness data not available to assess data sufficiency.
